SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGVkbYAH,111 N 3RD ST JARRELL TX,FDH_Activated_Date__c,2025-07-01,2023-03-31,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWOPYA5,201 10TH ST NOLANVILLE TX,FDH_Name__c,TX_NOLANVILLE_AVR_2025_Q3,TX_NOLANVILLE_SA01_FDH02,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWOPYA5,201 10TH ST NOLANVILLE TX,FDH_Activated_Date__c,2025-07-01,2023-06-23,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGX5DYAX,TX_KILLEEN_SA17_FDH06_PA04,Address_Type__c,Business,SFU,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGX5DYAX,TX_KILLEEN_SA17_FDH06_PA04,FDH_Name__c,TX_KILLEEN_SA17_FDH06,TX_KILLEEN_AVR_2025Q4,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGX5DYAX,TX_KILLEEN_SA17_FDH06_PA04,FDH_Activated_Date__c,2024-09-12,2025-10-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UG83EYAT,TX_HARKER HEIGHTS_SA02_FDH12_PA03,Address_Type__c,Business,SFU,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=agreement; from Vetro sync
a01WR00000UGWpnYAH,3045B STILLHOUSE LAKE RD HARKER HEIGHTS TX,Agreement_Name__c,TX_HARKER HEIGHTS_SA02_FDH12_PA03,TX_HARKER HEIGHTS_SA02_FDH12_PA04,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXS5YAP,529 KNIGHTS WAY HARKER HEIGHTS TX,FDH_Name__c,TX_HARKER HEIGHTS_AVR_2025Q3,TX_HARKER HEIGHTS_SA03_FDH01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXS5YAP,529 KNIGHTS WAY HARKER HEIGHTS TX,FDH_Activated_Date__c,2025-07-01,2024-01-30,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
